date	time	integration	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime	instrument	reference
2005-May-23.38	36.92000	3282	F775W	24.35	0	0.02	yyyy-month-deciday	days	AB	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-May-23.46	37.00000	3430	F850LP	23.83	0	0.03	yyyy-month-deciday	days	AB	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Jun-16.17	60.71000	3986	F775W	25.88	0	0.1	yyyy-month-deciday	days	AB	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Jul-11.15	85.69000	4224	F775W	26.44	0	0.22	yyyy-month-deciday	days	AB	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Nov-21.06	218.60000	4224	F850LP	NaN	0	NaN	yyyy-month-deciday	days	AB	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Nov-21.19	218.73000	4224	F775W	NaN	0	NaN	yyyy-month-deciday	days	AB	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-May-23.38	36.92000	3282	I	23.82	0	0.02	yyyy-month-deciday	days	Vega	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-May-23.46	37.00000	3430	I	NaN	0	NaN	yyyy-month-deciday	days	Vega	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Jun-16.17	60.71000	3986	I	25.36	0	0.1	yyyy-month-deciday	days	Vega	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Jul-11.15	85.69000	4224	I	25.92	0	0.22	yyyy-month-deciday	days	Vega	NaN	HST	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
NaN	0.00146	100	V	19.19	0	0.29	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00264	10	B	19.49	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00297	10	V	19.39	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00330	10	UVW1	18.36	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00362	10	B	19.17	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00396	10	V	18.36	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00411	10	UVM2	18.57	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00427	10	UVW1	18.61	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00459	10	B	19.44	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00558	10	B	19.39	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00575	10	UVW2	18.41	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00590	10	V	18.61	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00655	10	B	19.32	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00688	10 \times 10	U	19.75	0	0.3	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00752	10	B	19.38	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00771	10	UVW2	18.2	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00786	10	V	18.13	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00818	10	UVW1	19.3	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00851	10	B	19.49	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00917	10	UVW1	18.16	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00948	10	B	19.48	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	0.00981	10	V	18.33	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
