time	flux_density	flux_density_limit	dflux_density	integration	freq	freq_unit	time_unit	time_frame	flux_density_unit	integration_unit	instrument	dtime	reference
1.34	3890.0	0	200.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
2.34	2930.0	0	150.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
4.35	2030.0	0	100.0	2.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
5.33	1960.0	0	110.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
6.33	1550.0	0	80.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
7.35	1560.0	0	80.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
9.33	1310.0	0	70.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
10.36	1270.0	0	70.0	2.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
11.32	1190.0	0	90.0	2.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
12.32	1170.0	0	70.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
13.32	920.0	0	50.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
14.32	900.0	0	50.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
15.23	830.0	0	50.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
16.31	770.0	0	40.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
17.31	650.0	0	40.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
18.31	630.0	0	40.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
19.32	540.0	0	30.0	3.3	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
