time	band	mag	mag_limit	dmag	mag_unit	time_unit	mag_type	time_frame	extinction_corrected	instrument	dtime	reference	exinction_corrected	integration	integration_unit
8.98300	F330W	22.0	0	0.03	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
17.05100	F330W	23.4	0	0.05	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
26.12500	F330W	24.08	0	0.1	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.04200	F625W	21.09	0	0.01	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.90900	F625W	21.94	0	0.02	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
26.25000	F625W	22.57	0	0.03	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
48.68900	F625W	24.07	0	0.07	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
139.88800	F625W	26.2	0	0.62	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.05900	F850LP	20.9	0	0.01	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.92600	F850LP	21.74	0	0.02	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
26.26600	F850LP	22.24	0	0.03	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
48.75700	F850LP	23.28	0	0.05	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
139.90500	F850LP	25.65	0	0.57	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.13900	F160W	21.14	0	0.02	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.50000	F160W	22.16	0	0.04	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
27.19800	F160W	22.85	0	0.05	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.12400	F222M	20.38	0	0.3	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.46000	F222M	22.1	1	NaN	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
27.12700	F222M	21.7	1	NaN	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
8.98300	F330W	22.0	0	0.03	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
17.05100	F330W	23.4	0	0.05	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
26.12500	F330W	24.08	0	0.1	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.04200	F625W	21.09	0	0.01	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.90900	F625W	21.94	0	0.02	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
26.25000	F625W	22.57	0	0.03	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
48.68900	F625W	24.07	0	0.07	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
139.88800	F625W	26.2	0	0.62	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.05900	F850LP	20.9	0	0.01	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.92600	F850LP	21.74	0	0.02	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
26.26600	F850LP	22.24	0	0.03	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
48.75700	F850LP	23.28	0	0.05	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
139.90500	F850LP	25.65	0	0.57	Vega	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.13900	F160W	21.14	0	0.02	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.50000	F160W	22.16	0	0.04	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
27.19800	F160W	22.85	0	0.05	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
9.12400	F222M	20.38	0	0.3	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
