date	freq	flux_density	flux_density_limit	dflux_density	date_unit	freq_unit	flux_density_unit	instrument	time	time_unit	time_frame	dtime	reference
2001-Nov-25.20	4.8	240.0	0	70	yyyy-month-deciday	GHz	microJy	ATCA	3.41711	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Nov-28.64	4.8	510.0	0	38	yyyy-month-deciday	GHz	microJy	ATCA	6.85712	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Dec-6.80	4.8	350.0	0	42	yyyy-month-deciday	GHz	microJy	ATCA	15.01711	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Dec-15.80	4.8	250.0	0	34	yyyy-month-deciday	GHz	microJy	ATCA	24.01718	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Dec-22.90	4.8	-99.0	0	49	yyyy-month-deciday	GHz	microJy	ATCA	31.11711	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2002-Jan-23.85	4.8	320.0	0	38	yyyy-month-deciday	GHz	microJy	ATCA	63.06713	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Nov-22.83	8.7	210.0	0	40	yyyy-month-deciday	GHz	microJy	ATCA	1.04711	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Nov-25.08	8.7	450.0	0	130	yyyy-month-deciday	GHz	microJy	ATCA	3.29711	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Nov-28.64	8.7	610.0	0	39	yyyy-month-deciday	GHz	microJy	ATCA	6.85712	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Dec-6.80	8.7	220.0	0	58	yyyy-month-deciday	GHz	microJy	ATCA	15.01711	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Dec-15.80	8.7	274.0	0	37	yyyy-month-deciday	GHz	microJy	ATCA	24.01718	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2001-Dec-22.90	8.7	237.0	0	46	yyyy-month-deciday	GHz	microJy	ATCA	31.11711	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
2002-Jan-23.85	8.7	-99.0	0	47	yyyy-month-deciday	GHz	microJy	ATCA	63.06713	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
