time	integration	flux	flux_limit	dflux	energy_range	instrument	time_unit	integration_unit	flux_unit	dtime	reference
133.0	5.0	1.227000e-09	0	5.7e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
143.0	5.0	1.095000e-09	0	5.4e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
153.0	5.0	1.014000e-09	0	5.2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
163.0	5.0	9.200000e-10	0	4.9e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
173.0	5.0	8.680000e-10	0	4.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
183.0	5.0	8.370000e-10	0	4.7e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
193.0	5.0	7.720000e-10	0	4.5e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
203.0	5.0	6.940000e-10	0	4.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
213.0	5.0	6.920000e-10	0	4.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
223.0	5.0	6.240000e-10	0	4.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
233.0	5.0	6.500000e-10	0	4.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
243.0	5.0	5.720000e-10	0	3.9e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
253.0	5.0	5.460000e-10	0	3.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
263.0	5.0	5.430000e-10	0	3.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
278.0	10.0	5.080000e-10	0	2.6e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
298.0	10.0	4.980000e-10	0	2.6e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
