time	mag	dmag	band	time_unit	mag_unit
6.104	14.54	0.11	R	minutes	unspecified
6.471	14.31	0.09	R	minutes	unspecified
6.839	14.54	0.11	R	minutes	unspecified
7.326	14.66	0.12	R	minutes	unspecified
7.931	14.65	0.12	R	minutes	unspecified
8.536	14.79	0.21	R	minutes	unspecified
9.978	14.95	0.14	R	minutes	unspecified
10.338	15.08	0.15	R	minutes	unspecified
10.698	15.44	0.18	R	minutes	unspecified
11.172	15.36	0.17	R	minutes	unspecified
11.791	15.16	0.15	R	minutes	unspecified
12.403	15.25	0.16	R	minutes	unspecified
13.363	15.29	0.16	R	minutes	unspecified
14.472	15.29	0.16	R	minutes	unspecified
15.589	15.39	0.25	R	minutes	unspecified
16.705	16.12	0.23	R	minutes	unspecified
17.814	15.80	0.20	R	minutes	unspecified
18.931	15.81	0.20	R	minutes	unspecified
18.931	15.81	0.20	R	minutes	unspecified
20.249	15.97	0.22	R	minutes	unspecified
21.351	15.94	0.21	R	minutes	unspecified
22.452	16.25	0.31	R	minutes	unspecified
23.554	15.78	0.20	R	minutes	unspecified
25.779	16.19	0.23	R	minutes	unspecified
27.111	15.92	0.21	R	minutes	unspecified
29.351	16.48	0.25	R	minutes	unspecified
30.453	16.39	0.26	R	minutes	unspecified
31.569	16.64	0.27	R	minutes	unspecified
34.477	15.97	0.22	R	minutes	unspecified
36.580	15.79	0.26	R	minutes	unspecified
38.697	16.24	0.35	R	minutes	unspecified
42.842	15.88	0.21	R	minutes	unspecified
52.338	16.43	0.25	R	minutes	unspecified
65.275	16.53	0.26	R	minutes	unspecified
78.185	17.11	0.30	R	minutes	unspecified
108.318	17.36	0.32	R	minutes	unspecified
