date	time	integration	freq	flux_density	flux_density_limit	dflux_density	date_unit	time_unit	integration_unit	freq_unit	flux_density_unit	reference	instrument	beam	position_angle	 	VLA_Project_Code	system_noise_temp	seeing	optical_depth
2003-Mar-30.658-31.138	1.414	3.3	1.4	0.21	0	0.07	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Mar-30.674-31.148	1.427	3.6	2.3	0.28	0	0.05	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Mar-30.691-31.157	1.44	3.6	4.8	1.05	0	0.03	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Mar-31.655-Apr 1.110	2.399	3.6	4.8	5.98	0	0.03	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Mar-31.672-Apr 1.126	2.415	3.6	2.3	2.17	0	0.05	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Mar-31.688-Apr 1.142	2.431	3.3	1.4	0.63	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-2.650-3.088	4.385	4.0	4.8	3.64	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-2.694-3.132	4.429	4.0	2.3	0.79	0	0.05	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-2.738-3.149	4.459	3.3	1.4	0.43	0	0.15	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-4.644-5.083	6.38	4.0	4.8	4.89	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-4.688-5.127	6.424	4.0	2.3	1.21	0	0.06	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-4.732-5.143	6.454	3.3	1.4	0.37	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-5.641-5.818	7.246	4.2	2.3	1.0	0	0.07	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-7.072-7.138	8.621	1.6	4.8	4.21	0	0.06	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-7.636-8.135	9.401	12.0	4.8	3.96	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-11.625-11.693	13.175	1.6	4.8	6.42	0	0.05	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-12.622-12.806	14.23	2.5	4.8	5.25	0	0.05	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-12.659-12.843	14.267	2.5	2.3	0.26	0	0.06	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-18.606-18.908	20.273	7.0	4.8	6.96	0	0.05	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-20.600-21.055	22.344	3.3	4.8	6.5	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-20.617-21.072	22.36	3.3	2.3	1.21	0	0.06	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-20.633-21.087	22.376	3.3	1.4	0.64	0	0.08	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-27.583-28.062	29.338	3.9	4.8	9.17	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Apr-27.606-28.078	29.357	5.5	2.3	2.32	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-May-2.568-2.816	34.208	6.0	2.3	3.04	0	0.06	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-May-3.732-3.955	37.36	5.3	4.8	8.9	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-May-9.783-9.811	41.313	0.7	4.8	8.05	0	0.1	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-May-9.813-9.841	41.343	0.7	2.3	3.11	0	0.18	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003-Jun-9.714-9.963	72.354	2.5	4.8	4.59	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
